Name,Position,Team,Passing_Yards,Rushing_Yards,Receiving_Yards,Passing_TDs,Rushing_TDs,Receiving_TD,FG_Made,FG_Missed,Extra_Points_Made,Interceptions_Thrown,Fumbles_Lost,Interceptions,Forced_Fumbles,Sacks,Blocked_Kicks,Blocked_Punts,Safeties,Kickoff_Return_TD,Punt_Return_TD,Defensive_TD,Rank,URL
J.Goff,QB,LA,822,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,watch?v=FegNVbIGwIc
S.Diggs,WR,MIN,0,-2,293,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,watch?v=rTYhGHeF1vo
B.McManus,K,DEN,0,0,0,0,0,0,4,2,10,0,0,0,0,0,0,0,0,0,0,0,18,
S.Hauschka,K,BUF,0,0,0,0,0,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,19,
M.Ryan,QB,ATL,867,18,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,watch?v=jUiIBn0HGmE
D.Freeman,RB,ATL,0,227,50,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,watch?v=WCeOvF_e_CM
B.Bortles,QB,JAX,592,60,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,watch?v=cx9qoXOUScs
M.Crosby,K,GB,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,19,
K.Cousins,QB,WAS,784,39,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,21,watch?v=KIRV6K1Tj7I
B.Walsh,K,SEA,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,21,
P.Dawson,K,ARI,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,22,
D.Watson,QB,HOU,528,124,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,watch?v=8-aCD4SgP2A
A.Vinatieri,K,IND,0,0,0,0,0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,23,
N.Folk,K,TB,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,23,
T.Mitchell,CB,KC,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,watch?v=qqBU5jGEvvo
J.Houston,OLB,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24,watch?v=LFYTqltOUFI
T.Taylor,QB,BUF,562,106,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,watch?v=dqfsoP89bT8
J.Poyer,FS,BUF,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,24,watch?v=tB3nrIPildI
T.Brooks,DB,NYJ,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,watch?v=rvi99s605Sc
V.Beasley,LB,ATL,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,24,watch?v=LsMfukBlArw
