Name,Position,Team,Passing_Yards,Rushing_Yards,Receiving_Yards,Passing_TDs,Rushing_TDs,Receiving_TD,FG_Made,FG_Missed,Extra_Points_Made,Interceptions_Thrown,Fumbles_Lost,Interceptions,Forced_Fumbles,Sacks,Blocked_Kicks,Blocked_Punts,Safeties,Kickoff_Return_TD,Punt_Return_TD,Defensive_TD,Punting_i20,Punting_Yards
D.Sorensen,SS,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
T.Taylor,QB,BUF,910,121,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L.McCoy,RB,BUF,0,279,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Tolbert,FB,BUF,0,135,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N.O'Leary,TE,BUF,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Clay,TE,BUF,0,0,258,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A.Holmes,WR,BUF,0,0,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J.Matthews,WR,BUF,0,0,162,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z.Jones,WR,BUF,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.DiMarco,FB,BUF,0,-2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S.Hauschka,K,BUF,0,0,0,0,0,0,11,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Schmidt,P,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1284
B.Tate,WR,BUF,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E.Gaines,CB,BUF,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
P.Brown,MLB,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Hyde,SS,BUF,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
L.Alexander,OLB,BUF,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
L.Johnson,DB,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Humber,OLB,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.White,CB,BUF,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E.Yarbrough,DE,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
S.Lawson,DE,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
